"filename", "language", "JSON", "JavaScript", "Properties", "Vue", "SCSS", "HTML", "YAML", "XML", "CSS", "comment", "blank", "total"
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\error-page\401.vue", "Vue", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 4, 100
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\error-page\404.vue", "Vue", 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 4, 226
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\exam\components\QuestionAnswerShow.vue", "Vue", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 3, 128
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\exam\components\QuestionEdit.vue", "Vue", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 3, 84
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\exam\paper\do.vue", "Vue", 0, 0, 0, 195, 0, 0, 0, 0, 0, 4, 7, 206
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\exam\paper\edit.vue", "Vue", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 5, 155
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\exam\paper\read.vue", "Vue", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 5, 112
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\face-recognition\index.vue", "Vue", 0, 0, 0, 69, 0, 0, 0, 0, 0, 8, 8, 85
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\login\index.vue", "Vue", 0, 0, 0, 377, 0, 0, 0, 0, 0, 5, 37, 419
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\paper\index.vue", "Vue", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 4, 91
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\question-error\index.vue", "Vue", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 5, 100
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\record\index.vue", "Vue", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 4, 126
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\register\index.vue", "Vue", 0, 0, 0, 324, 0, 0, 0, 0, 0, 2, 36, 362
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\user-info\index.vue", "Vue", 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 5, 175
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\user-info\message.vue", "Vue", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 6, 98
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\vue.config.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 3, 53
"Total", "-", 14651, 854, 1, 3068, 285, 41, 5, 78, 1, 248, 392, 19624
