"filename", "language", "JavaScript", "Properties", "JSON", "Vue", "HTML", "CSS", "SCSS", "YAML", "XML", "comment", "blank", "total"
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\zeroclipboard\ZeroClipboard.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\zeroclipboard\ZeroClipboard.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\ueditor.all.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\ueditor.config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\ueditor.parse.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 7
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\index.html", "HTML", 0, 0, 0, 0, 48, 0, 0, 0, 0, 1, 5, 54
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\App.vue", "Vue", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\composePaper.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\dashboard.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\examPaper.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\examPaperAnwser.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 24
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\face.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\knowledge.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\login.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\message.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\question.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\subject.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\task.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\user.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\assets\custom-theme\index.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
